configuration,method,drift_type,distribution,replications,TP,FP,FN,FDR,MDR,IR,mean_delay
MCDD-G30k,mcdd,incremental,normal,1000,793,117,90,0.12857142857142856,0.10192525481313704,0.8714285714285714,1108.701134930643
MCDD-G30kT,mcdd,abrupt,all,3000,2456,251,293,0.09272257111193202,0.1065842124408876,0.907277428888068,416.9381107491857
MCDD-G30kT,mcdd,abrupt,exponential,1000,667,88,245,0.11655629139072848,0.26864035087719296,0.8834437086092716,703.7481259370314
MCDD-G30kT,mcdd,abrupt,gamma,1000,887,81,32,0.08367768595041322,0.03482045701849837,0.9163223140495868,310.93573844419393
MCDD-G30kT,mcdd,abrupt,normal,1000,902,82,16,0.08333333333333333,0.017429193899782137,0.9166666666666666,309.09090909090907
MCDD-G30kT,mcdd,all,all,9000,6911,741,1348,0.09683742812336645,0.16321588570044798,0.9031625718766335,890.9853856171321
MCDD-G30kT,mcdd,gradual,all,3000,2243,244,513,0.09811017289907518,0.18613933236574745,0.9018898271009248,1254.2131074453857
MCDD-G30kT,mcdd,gradual,exponential,1000,523,80,397,0.13266998341625208,0.4315217391304348,0.867330016583748,1527.342256214149
MCDD-G30kT,mcdd,gradual,gamma,1000,844,89,67,0.09539121114683816,0.07354555433589462,0.9046087888531619,1183.175355450237
MCDD-G30kT,mcdd,gradual,normal,1000,876,75,49,0.07886435331230283,0.05297297297297297,0.9211356466876972,1159.5890410958905
MCDD-G30kT,mcdd,incremental,all,3000,2212,246,542,0.1000813669650122,0.19680464778503995,0.8999186330349878,1049.005424954792
MCDD-G30kT,mcdd,incremental,exponential,1000,495,84,421,0.14507772020725387,0.4596069868995633,0.8549222797927462,1409.6969696969697
MCDD-G30kT,mcdd,incremental,gamma,1000,847,85,68,0.09120171673819742,0.07431693989071038,0.9087982832618026,964.344746162928
MCDD-G30kT,mcdd,incremental,normal,1000,870,77,53,0.08130939809926083,0.05742145178764897,0.9186906019007391,926.2068965517242
MCDD-S,mcdd,abrupt,all,3000,2316,398,286,0.1466470154753132,0.10991544965411222,0.8533529845246868,415.2849740932642
MCDD-S,mcdd,abrupt,exponential,1000,644,116,240,0.15263157894736842,0.27149321266968324,0.8473684210526315,698.4472049689441
